她	ta	1
趣	qut
二	era
壬	rfp
右	yzu
时	uio
础	iuu
噢	ook
醅	pwy
吖	aak
鸽	ger
盉	heh
玖	jqw
渴	ked
崽	zdu
孝	xnl
丛	csr
遮	vez
叭	bak
倪	nir
嘛	mak
肮	aho
袄	aop
拔	baf
宝	bcb
栟	bfm
泵	bgu
邦	bhf
毕	bib
病	bkb
摽	bnf
泊	bod
卑	bwp
曹	ccc
嶒	cgu
苍	chc
瓷	cid
惭	cjx
锉	coj
存	cyu
德	der
党	dhx
堤	dit
儋	djr
疔	dkb
簟	dmv
鲷	dny
惰	dox
迭	dpz
恫	dsx
怼	dvy
囤	dyk
锋	fgj
邡	fhf
篚	fwv
膏	gcw
盖	gdy
冈	ghk
玕	gjw
官	grb
骨	gug
簋	gvv
孩	hdz
盒	her
桁	hgm
颔	hjr
荒	hlc
惑	hog
擐	hrf
纮	hss
祜	hup
徽	hvr
浑	hyd
厚	hzi
叉	iay
珵	igw
嗤	iik
颤	ijw
惙	iox
涌	isd
琡	iuw
圌	ivk
近	jbz
及	jip
奖	jll
检	jmm
嚼	jnk
揭	jpf
九	jqp
镌	jrj
冏	jsk
惧	jux
架	jxl
畯	jyt
犒	kcn
磕	keu
扛	khf
砍	kju
𫛭	klq
括	kof
骷	kug
揦	laf
檩	lbm
耢	lcl
坜	lit
领	lkr
晾	llo
络	los
烈	lpd
溜	lqd
鹭	luz
檑	lwm
娄	lzm
嘛	mak
檬	mgm
密	mib
万	moa
湄	mwd
哪	nek
昵	nio
嬢	nln
袅	nnn
努	nun
噢	ook
鸥	ouq
贫	pbf
排	pdf
抨	pgf
披	pif
爿	pjv
飘	pnx
酺	puy
期	qic
鲭	qky
骞	qmb
佺	qrr
穹	qsb
曲	quk
忍	rfr
瓤	rhy
鄀	roc
冗	rsb
嬬	run
搔	scf
塞	sdb
涩	sed
泗	sid
蔌	suc
碎	svu
飕	szf
淘	tcd
汰	tdd
替	tif
谭	tjy
托	tof
嗵	tsk
吐	tuk
饨	tyu
嗄	uak
沈	ufd
升	ugp
食	uir
苫	ujc
霜	uly
疏	uuv
艏	uzv
招	vcf
谪	vey
砧	vfu
吱	vik
状	vll
卓	vob
珠	vuw
咒	vzk
闻	wfm
瓮	wgg
挝	wof
五	wua
辛	xbl
夕	xip
相	xlm
嫌	xmn
箫	xnv
休	xqr
凶	xsk
削	xtx
许	xuy
荀	xyc
吖	yak
吟	ybk
爻	ycx
杨	yhm
咦	yik
腌	yjo
鹰	ykg
唷	yok
咏	ysk
竽	yuv
繇	yzv
咂	zak
兹	zib
酂	zjn
作	zor
宗	zsb

唉	aiku/
碍	aiuc/
砹	aiux/
毐	aitm/
嗳	aiky/
蔼	aicr/
霭	aiyr/
嗌	aikm/
叆	aiyy/
皑	aibj/
案	anbm/
胺	anon/
鞍	angn/
盦	anrm/
垵	antn/
犴	anqg/
𩽾	anyn/
敖	aofw/
鳌	aofy/
螯	aofi/
拗	aofl/
獒	aofq/
鏊	aofj/
鏖	aolj/
骜	aofm/
奡	aobl/
聱	aofe/
嶅	aofu/
罢	basq/
爸	bafb/
捌	bafd/
魃	bagy/
鲃	bayb/
鲅	bayy/
菝	bacy/
朳	bamb/
殡	bbdb/
濒	bbdy/
摈	bbfb/
玢	bbwf/
槟	bbmb/
抱	bcfb/
堡	bcrt/
煲	bcrh/
暴	bcou/
刨	bcbd/
褒	bcym/
苞	bccb/
胞	bcob/
葆	bccm/
鸨	bcbn/
炮	bchb/
雹	bcyb/
龅	bcvb/
趵	bczu/
掰	bduu/
捭	bdfu/
伯	bdrb/
夯	bfdl/
迸	bgzk/
榜	bhmf/
梆	bhme/
搒	bhff/
鼻	bizw/
壁	biut/
避	bizx/
弊	bixc/
璧	biuy/
敝	bixw/
匕	bipv/
毙	bibb/
俾	biru/
鄙	bike/
弼	bigb/
痹	bibw/
吡	bikb/
髀	bigu/
妣	binb/
屄	biub/
箅	bivw/
滗	bidm/
芘	bicb/
嬖	biun/
沘	bidb/
萆	bicu/
裨	bipu/
篦	bivb/
邲	bibe/
薜	bicx/
跸	bizu/
珌	biwb/
辟	biux/
佖	birb/
荸	bicz/
筚	bivu/
佛	birf/
觱	biwy/
馝	bihb/
鲾	biyt/
坒	bibt/
拌	bjfb/
斑	bjww/
扮	bjff/
扳	bjfy/
癍	bjbw/
攽	bjfw/
柈	bjmb/
瘢	bjbu/
𨭉	bjwj/
屏	bkuk/
秉	bkqr/
槟	bkmb/
邴	bkbe/
栟	bkmk/
遍	bmzc/
辨	bmxl/
卞	bmwb/
煸	bmhc/
弁	bmsc/
辫	bmxs/
萹	bmcc/
忭	bmxb/
碥	bmuc/
𨚕	bmse/
杓	bnmu/
镳	bnjh/
骉	bnmm/
熛	bnhu/
幖	bnju/
俵	bnry/
飑	bnfb/
脿	bnoy/
拨	bofy/
搏	bofc/
钵	bojb/
勃	boul/
亳	bowq/
孛	bouz/
柏	bomb/
钹	bojy/
渤	bodl/
僰	bour/
擘	bouu/
镈	bojc/
菠	bocp/
浡	bodz/
舶	bovb/
嶓	bout/
膊	booc/
哱	bokz/
砵	boub/
踣	bozk/
簸	bovp/
鹁	boun/
檗	boum/
蕃	boct/
艴	bofb/
趵	bozu/
礴	bouc/
欂	bomc/
𬭛	bojp/
鳖	bpxy/
蹩	bpxz/
癿	bpbv/
簿	buvc/
卜	buld/
哺	bukf/
瓿	bulw/
埔	butf/
埗	butu/
𬷕	bufn/
贝	bwkr/
辈	bwfi/
邶	bwbe/
孛	bwuz/
碚	bwuk/
琲	bwwf/
惫	bwwx/
褙	bwpo/
鹎	bwpn/
棓	bwmk/
椑	bwmu/
糒	bwmy/
臂	bwuo/
鐾	bwuj/
鞁	bwgp/
糙	ccmk/
嘈	ccko/
芔	cccc/
蔡	cdcu/
彩	cdcp/
伧	chrv/
磁	ciuy/
辞	ciux/
雌	civv/
慈	cibx/
泚	cidb/
疵	cibb/
差	ciyg/
茈	cicb/
兹	ciby/
佽	cirq/
鹚	cibn/
莿	cicd/
𫚖	civy/
残	cjdj/
粲	cjdm/
䅟	cjhp/
挫	cofr/
措	cofo/
撮	cofy/
嵯	coug/
鹾	cobg/
撺	crfi/
镩	crji/
枞	csmr/
璁	cswx/
苁	cscr/
徂	curq/
卒	cuwu/
毳	cvmm/
悴	cvxu/
漼	cvdv/
榱	cvmv/
搭	dafk/
嗒	dakk/
跶	dazd/
笪	davd/
靼	dagd/
溚	dadk/
鿎	daud/
𫟼	dajd/
纛	dcfx/
蹈	dczj/
捯	dcfd/
忉	dcxd/
舠	dcvd/
待	ddrc/
贷	ddrb/
袋	ddry/
黛	ddrh/
岱	ddru/
迨	ddzk/
呔	ddkt/
绐	ddsk/
大	ddar/
垈	ddrt/
凳	dgbj/
戥	dgog/
嶝	dgub/
菪	dhcu/
𣗋	dhmx/
笛	divy/
递	dizd/
弟	dibd/
氐	diud/
骶	digu/
邸	diue/
碲	diuj/
籴	dirm/
鞮	digz/
砥	diuu/
涤	didm/
菂	dicu/
荻	dich/
诋	diyu/
娣	dind/
杕	dimd/
柢	dimu/
坻	ditu/
踶	dizz/
媂	dinj/
提	difz/
蹢	dizg/
玓	diwu/
𤧛	diwj/
𬱖	diyy/
旦	djoa/
啖	djkh/
掸	djfu/
澹	djdk/
疍	djzd/
聃	djer/
殚	djdu/
憺	djxk/
瘅	djbu/
膻	djod/
眈	djoe/
赕	djbh/
郸	djbe/
疸	djbd/
𫢸	djru/
腚	dkoz/
锭	dkjz/
啶	dkkz/
酊	dkyd/
殿	dmuu/
颠	dmuy/
掂	dmfv/
癫	dmby/
奠	dmbd/
靛	dmfz/
淀	dmdz/
癜	dmbu/
琔	dmwz/
叼	dnkd/
雕	dnkv/
貂	dnvk/
碉	dnuk/
铫	dnjv/
铞	dnjj/
汈	dndd/
朵	dojm/
铎	dojf/
踱	dozy/
咄	doki/
埵	dott/
哚	dokm/
饳	doui/
㙍	doty/
谍	dpym/
垤	dptt/
蹀	dpzm/
𫶇	dpuj/
耑	drue/
簖	drvj/
冻	dsdd/
鸫	dsdn/
硐	dsuk/
岽	dsud/
胨	dsod/
睹	duoo/
蠹	dugi/
犊	dund/
渎	dudd/
椟	dumd/
阇	dumo/
厾	duvq/
黩	duld/
𬭊	dujt/
墩	dytw/
遁	dyzo/
趸	dywz/
镦	dyjw/
蹾	dyzw/
砘	dyut/
窦	dzbd/
讹	eeyb/
鳄	eeyk/
鄂	eeke/
蛾	eeiw/
颚	eeky/
轭	eeiv/
萼	eeck/
屙	eeuk/
鹗	eekn/
锷	eejk/
峨	eeuw/
垩	eeyt/
噩	eewk/
婀	eenk/
哦	eekw/
苊	eecv/
𫫇	eekx/
洱	erde/
鲕	erye/
耏	erep/
陑	eree/
垡	fart/
粪	ffmg/
焚	ffmh/
奋	ffdt/
偾	ffrb/
棻	ffcm/
棼	ffmf/
鲼	ffyb/
瀵	ffdg/
翂	ffxf/
坋	fftf/
𣸣	ffdb/
丰	fgsl/
凤	fgjy/
蜂	fgif/
沣	fgdf/
酆	fgue/
砜	fguf/
崶	fguc/
赗	fgbo/
鲂	fhyf/
肪	fhof/
牥	fhnf/
范	fjcv/
番	fjct/
帆	fjjf/
樊	fjmd/
矾	fjuf/
幡	fjjt/
燔	fjht/
氾	fjdv/
蘩	fjcx/
蹯	fjzt/
墦	fjtt/
𬸪	fjcn/
复	fupw/
夫	fuer/
父	fubx/
弗	fugl/
赋	fubv/
斧	fufj/
伏	furq/
敷	fufw/
傅	furc/
釜	fufb/
腹	fuow/
浮	fudz/
拂	fuff/
腐	fugr/
俘	furz/
腑	fuoc/
辐	fuit/
孚	fuvz/
阜	fupu/
佛	furf/
凫	funj/
肤	fuof/
芣	fucb/
祓	fupy/
苻	fucc/
鄜	fule/
涪	fudk/
黻	fuyy/
拊	fufc/
郛	fuve/
莩	fucz/
簠	fuvm/
绂	fusy/
宓	fubb/
茯	fucq/
赙	fubc/
趺	fuzf/
茀	fucf/
蝮	fuiw/
稃	fuhz/
怫	fuxf/
匐	fubt/
罘	fusb/
驸	fumc/
袱	fupq/
洑	fudq/
鲋	fuyc/
菔	fucy/
滏	fudb/
芾	fucj/
咐	fukc/
幞	fujf/
绋	fusf/
蚨	fuif/
韨	fuwy/
琈	fuwz/
垺	futz/
讣	fuyb/
蜉	fuiz/
砆	fuuf/
㕮	fukf/
㳇	fudf/
𫖯	fuvy/
肥	fwob/
斐	fwfw/
吠	fwkq/
啡	fwkf/
腓	fwof/
淝	fwdb/
蜚	fwfi/
朏	fwoi/
诽	fwyf/
翡	fwfx/
芾	fwcj/
棐	fwfm/
剕	fwfd/
𬴂	fwmf/
噶	gakr/
咖	gakk/
旮	gajo/
锆	gcjk/
郜	gcne/
槔	gcmu/
羔	gcyh/
槁	gcmk/
筶	gcvk/
钙	gdjg/
𬮿	gdej/
歌	gekq/
咯	gekk/
阁	gemk/
镉	gejg/
嗝	gekg/
革	gecu/
胳	geok/
盖	geym/
疙	gebv/
饹	geuk/
仡	gerv/
合	gerk/
虼	geiv/
塥	getg/
赓	gggb/
鲠	ggyg/
鹒	gggn/
罡	ghsv/
矼	ghug/
扛	ghfg/
冮	ghdg/
㭎	ghmx/
鿍	ghtf/
柑	gjmg/
苷	gjcg/
橄	gjmw/
鳡	gjyx/
酐	gjyg/
泔	gjdg/
坩	gjtg/
旰	gjog/
澉	gjdw/
掴	gkfy/
洸	gldg/
椁	gomz/
馃	goug/
呙	gokn/
帼	gojy/
蜾	goig/
埚	gotn/
𬇹	gody/
冠	grbc/
贯	grmb/
毌	grml/
掼	grfb/
瓘	grwv/
鳏	gryx/
筦	grvy/
涫	grdl/
莞	grcy/
鳤	gryl/
蒄	grcc/
宫	gsbk/
功	gsgl/
汞	gsgu/
贡	gsgb/
恭	gsgx/
巩	gsgf/
䢼	gsge/
硔	gsug/
蛊	guim/
咕	gukg/
瞽	guto/
菰	gucg/
辜	gugx/
毂	gutu/
觚	gudg/
酤	guyg/
锢	gujg/
崮	guug/
堌	gutg/
蛄	guig/
汩	gudo/
鹘	gugn/
嘏	gugy/
牯	gung/
鹄	gunn/
痼	gubg/
羖	guyu/
瀔	gudu/
臌	guov/
馉	guuo/
牿	gunk/
蓇	guco/
𦙶	guog/
桂	gvmt/
瑰	gvwg/
鲑	gvyt/
邽	gvte/
刿	gvud/
桧	gvmy/
鳜	gvyq/
鬶	gvfg/
宄	gvbj/
皈	gvby/
炅	gvoh/
姽	gvnv/
筀	gvvt/
剐	gxkd/
鸹	gxun/
衮	gyyg/
钩	gzjg/
购	gzbg/
彀	gztu/
枸	gzmj/
姤	gznk/
雊	gzjv/
笱	gzvj/
句	gzbk/
嚎	hcku/
蚝	hcim/
毫	hcwm/
蒿	hcck/
皞	hcbu/
濠	hcdu/
灏	hcdy/
鄗	hcwe/
淏	hcdt/
颢	hcoy/
嚆	hckk/
嗐	hdkk/
咳	hdkr/
合	herk/
呵	hekk/
阖	hemm/
褐	hepr/
颌	hery/
郃	here/
涸	hedg/
鹖	heon/
壑	hebt/
貉	hevk/
吓	hekx/
龢	herh/
熇	hehk/
菏	heck/
阂	hemr/
隺	hebv/
鞨	hegr/
𬌗	heyk/
珩	hgwd/
鸻	hgrn/
行	hgrd/
沆	hhdj/
汗	hjdg/
函	hjku/
焓	hjhk/
罕	hjbg/
涵	hjdu/
憾	hjxx/
翰	hjux/
瀚	hjdx/
捍	hjfg/
晗	hjok/
邗	hjge/
暵	hjot/
顸	hjgy/
撖	hjfw/
浛	hjdk/
虷	hjig/
㘎	hjkw/
崡	hjuu/
嵅	hjuk/
蔊	hjcg/
篁	hlvw/
幌	hljg/
恍	hlxg/
潢	hldb/
湟	hldw/
肓	hlwo/
锽	hljw/
惶	hlxw/
鳇	hlyw/
癀	hlbb/
蟥	hlib/
瑝	hlww/
㿠	hlbg/
𨱑	hljb/
豁	hobg/
伙	horh/
藿	hocv/
钬	hojh/
濩	hody/
夥	hogx/
嚄	hoky/
漷	hode/
劐	hocd/
佸	horu/
锪	hojx/
㸌	hohv/
欢	hryq/
涣	hrdd/
圜	hrky/
郇	hrbe/
鲩	hryy/
宦	hrbi/
逭	hrzl/
缳	hrsy/
鹮	hrsn/
澴	hrdy/
镮	hrjy/
漶	hrdx/
痪	hrbd/
㬊	hroy/
荁	hrcd/
𤩽	hrwq/
虹	hsig/
洪	hsdg/
泓	hsds/
吽	hskn/
訇	hsbk/
蕻	hscg/
唝	hskb/
谼	hsgg/
𬭎	hsjs/
湖	hudo/
和	huhk/
沪	hudh/
弧	hugg/
唬	hukj/
核	humr/
斛	hudd/
瑚	huwo/
瓠	hudg/
縠	hutu/
煳	huho/
烀	huhh/
扈	huhb/
怙	huxg/
鹘	hugn/
唿	hukx/
鹱	huny/
鳠	huyy/
琥	huwj/
淴	hudx/
醐	huyo/
槲	humd/
囫	hukw/
戽	huhd/
嫭	hunh/
轷	huih/
浒	hudw/
猢	huqo/
昒	huow/
慧	hvfx/
喙	hvku/
恢	hvxh/
卉	hvuc/
